iter	Passed	Remaining
354	66926	27336
355	67099	27141
356	67305	26960
357	67536	26788
358	67725	26599
359	67924	26415
360	68124	26230
361	68296	26035
362	68478	25844
363	68677	25659
364	68869	25472
365	69059	25283
366	69268	25102
367	69506	24931
368	69728	24754
369	69947	24576
370	70170	24398
371	70392	24220
372	70611	24041
373	70830	23862
374	71024	23674
375	71215	23485
376	71405	23296
377	71593	23107
378	71784	22917
379	71974	22728
380	72163	22539
381	72350	22349
382	72539	22159
383	72744	21974
384	72915	21780
385	73088	21585
386	73272	21394
387	73450	21202
388	73617	21006
389	73795	20814
390	73962	20618
391	74132	20424
392	74302	20229
393	74480	20038
394	74653	19844
395	74823	19650
396	74989	19455
397	75165	19263
398	75348	19073
